0,37038,0,1786,405303,"0,004406579769",106854,405303,"0,2636397954",261800,405303,"0,6459364969",241,82299,"0,002928346638",27,405303,"0,00006661682741",7,405303,"0,00001727102933",785,405303,"0,001936822575",,405303,0,,,#DIV/0!
0,0,0,0,65.882,0,5.591,65.882,"0,08486384748","33517,04",65.882,"0,5087435111",108,17956,"0,006014702606",,65.882,0,2,65.882,"0,00003035730549",132,65.882,"0,002003582162",,65.882,0,,,#DIV/0!
0,310566,0,"16653,57",889 646,0,49105,889 646,0,"20772,8",889 646,,497,"15,404",,110,889 646,,28,889 646,,1432,889 646,,,889 646,,,,
0,0,0,0,395423,0,0,395423,0,,395423,,,,,,395423,,,395423,,,395423,,,395423,,,,
0,0,0,0,206 496,0,0,206 496,0,,206 496,,,,,,206 496,,,206 496,,,206 496,,,206 496,,,,
1941,15195,0,3035,175894,0,9265,181193,0,"830,4",181193,,134,34389,,27,181193,,6,181193,,604,181193,,,181193,,,,
0,0,0,21699,73708,0,0,73708,0,,73708,,131,21104,,11,73708,,,73708,,,73708,,,73708,,,,
138,2560,"0,05390625",0,#REF!,#REF!,779,#REF!,#REF!,479090,#REF!,#REF!,300,46579,"0,006440670689",10,#REF!,#REF!,3,#REF!,#REF!,120,#REF!,#REF!,,#REF!,#REF!,,"313,51",0
1508,4303,"0,3504531722",1234,6903,"0,1787628567",56779,136903,"0,4147389027",43079000,136903,"314,6680496",302,12332,"0,02448913396",29,#REF!,#REF!,3,#REF!,#REF!,20,#REF!,#REF!,,#REF!,#REF!,,"99,33",0
0,12560,0,0,202204,0,0,202204,0,,202204,0,298,47298,"0,006300477821",,202204,0,3,202204,"0,00001483650175",,202204,0,,202204,0,,"313,51",0
1338,4303,"0,3109458517",7421,136903,"0,05420626283",557479,136903,"4,072072928",43079000,136903,"314,6680496",207,34708,"0,005964042872",38,136903,"0,0002775687896",3,136903,"0,00002191332549",197,136903,"0,001438975041",,136903,0,,"99,33",0
140,637,"0,2197802198",2463,64819,"0,03799811784",4145,64819,0,"1371,96",64819,"0,0639472994",81,18030,"0,004492512479",6,64819,"0,00009256545149",31,64819,"0,0004782548327",128,64819,"0,001974729632",,64819,0,,"57,64",0
14,37,"0,3783783784",921,423257,"0,002175982913",227085,423257,"0,5365180021",1233000,423257,"2,913123705",677,121557,"0,005569403654",119,423257,"0,0002811530583",11,423257,"0,00002598893816",854,423257,"0,002017686654",87,423257,"0,0002055488746",,"157,26",0
